Name,Description,Ecosystem,Spec. Issue,Components,Interfaces,Source
O1 Takeover (O-DU-SMO Interface) (A),"O-RAN worst case/3GPP worst case (ww): Since the interface is secured even in the worst case by the mandatory nature of the security safeguards, there is hardly any possibility (at least for “outsiders”) to gain read, and especially write, access to this interface. However, the basic availability attacks that prevent certain status and configuration messages cannot be prevented. As in the general assessment of the O1 interface, it can also be said that “user” attackers pose a low risk of violating the protection goals of confidentiality, integrity and accountability. An insider, on the other hand, can breach the protection goals of confidentiality, integrity and accountability in the worst case, since the O-RAN protection measures cannot compensate for the 3GPP safeguards that do not apply here. Here, the O-DU is assumed to be an “insider”. In addition, an insider may be able to install their own software on the O-DU in the worst case (depending on their membership in rights groups) and thereby gain control of it. This results in a high risk to availability. In spite of all this, however, an insider cannot break the integrity of the Control Plane data between UE and AMF, as it is secured by the mandatory 3GPP measures.",FALSE,TRUE,"O-DU, SMO",O1 Interface,Open RAN Risk Analysis
O1 Takeover (O-DU-SMO Interface) (B),"O-RAN worst case/3GPP best case (wb): Since all the measures to secure the protection goals are mandatory, the risks should be the same as in the “ww” case. From the perspective of 3GPP security, the confidentiality of the Control Plane data between UE and AMF is assured along with its integrity, which means that the risk posed by insiders can be classified as “medium”.",FALSE,TRUE,"O-DU, SMO",O1 Interface,Open RAN Risk Analysis
O1 Takeover (O-DU-SMO Interface) (C),"O-RAN best case/3GPP best case (bb): With regard to the best-case scenario, the assessment of “outsider” and “user” attackers is consistent with that of the worst-case scenario due to the mandatory nature of the O-RAN security safeguards. The 3GPP security safeguards can be said to prevent a violation of the protection goals of confidentiality, integrity and accountability only in cases involving “insider” attackers. With regard to availability, it can be argued that even in the best-case scenario, an insider cannot inject malware through NACM, as they do not have the necessary rights. Depending on one's point of view, however, they themselves can be O-DU, which means they can easily restrict availability.",FALSE,TRUE,"O-DU, SMO",O1 Interface,Open RAN Risk Analysis
O1 Takeover (O-DU-SMO Interface) (D),"O-RAN best case/3GPP worst case (bw): Here, the assessment of the risks is the same as in the previous “bb” case. In this scenario, only confidentiality is not secured by 3GPP in the Control Plane between UE and AMF, which is why the risk is assessed as “medium”.",FALSE,TRUE,"O-DU, SMO",O1 Interface,Open RAN Risk Analysis
A1 Interface Specification Gaps,"As described in chapter 2.3.3, the A1 interface is primarily used to communicate guidelines to the near-real-time RIC regarding the configuration/optimisation of the RAN. These guidelines are designed as declarative policies. They express what is to be achieved, but not how it should be achieved. The concrete implementation decisions are thus part of the near-real-time RIC and the xApps.

The A1 interface is meant to provide options for enforcing confidentiality, integrity and authenticity (including protection against replay attacks) [51]. For this purpose, TLS is provided as an option for securing communications [57], [51], [49]. One threat to the A1 interface arises from the fact that, in order to implement bidirectional communication, it is intended that both end points (non-real time RIC, near-real time RIC) of the A1 interface act as servers [57]. The attack surface resulting from the open ports necessary for this should be minimised by having only one endpoint act as a server and carrying out bidirectional communication via an existing connection. To implement this, additional techniques such as reverse connections can be used.

With regard to the best-case/worst-case analysis, it should be noted that the corresponding risks here are essentially dependent on the best-case/worst-case situation pertaining to the O-RAN specifications. In contrast, due to the functionality of the A1 interface, the resulting risk is largely independent of the best-case/worst-case situation regarding the 3GPP standards.",FALSE,TRUE,"Near-RT RIC, Non-RT RIC",A1 Interface,Open RAN Risk Analysis
A1 Interface Attack (Worst Case),"Worst case: Since the A1 interface is unsecured in the worst case, it is possible for outsiders to gain read and write access to it. By manipulating policies accordingly, an impairment of availability (reduction of service quality) is possible at the very least. A high risk to availability is thus assumed for all stakeholders.

With regard to the protection goals of confidentiality, integrity and accountability, a low risk is assumed for the user perspective even in the worst case, as no current attacks could be identified that would allow an attacker with access to the A1 interface to read or manipulate the User Plane data.

It should be noted here that more in-depth analyses are needed to actually rule out the possibility that no User Plane data is transmitted via the A1 interface. Particularly in future versions of the specifications, it will be essential to check which services are actually offered via the A1 interface and whether User Plane data is transmitted there.

With regard to the “telco” perspective, this risk assessment changes to “medium”, since sensitive network management information (with regard to confidentiality and integrity) is transmitted via the A1 interface. This assessment was also adopted for the “state” perspective.",FALSE,TRUE,,A1 Interface,Open RAN Risk Analysis
A1 Interface Attack (Best Case),"Best case: Due to the protection with TLS in the best case, neither an outsider nor a user can successfully attack the confidentiality or integrity of the A1 interface. Only availability attacks on the A1 interface are conceivable. Due to the functionality of the A1 interface, it can be assumed that intelligent availability attacks on this interface can impair the availability of the RAN – at least in the sense of a reduction in quality of service. This applies in particular because a failure of the A1 interface is not explicitly considered in the specifications. A medium risk is therefore assumed for all stakeholders here.

Since the security safeguards only provide protection against outsiders (connection encryption) and a rights and role concept regarding access control to the A1 interface can be inferred between the lines of the specification at best, it is currently assumed that an insider has full access to the A1 interface even in the best-case scenario. The situation pertaining to insider attackers is therefore similar to that of the worst case involving an outsider. On the other hand, no current attacks could be identified that would enable an insider to gain a significant advantage with regard to the protection goals of confidentiality, integrity and accountability based on access to the A1 interface. The comments made above regarding the need for a more in-depth analysis should be noted here.",FALSE,TRUE,,A1 Interface,Open RAN Risk Analysis
R1 Interface Specification Gaps,"As explained in chapter 2.3.4, the R1 interface is used by the rApps to access non-real-time RIC functions and other services that an rApp needs to fulfil its tasks. Here, the following is envisaged: “The R1 interface is the sole interface between an rApp and the functionality of the Non-RT RIC and SMO. Therefore, the R1 interface should be defined to meet all functional needs of rApps, with appropriate interface extensibility capabilities as needed.” [29]. The R1 interface is thus to be regarded as very powerful. At the same time, it is currently largely unspecified. There are some general statements and some requirements, but no concrete design. The following information is relevant from a security point of view:

- “It would be useful for the O-RAN Alliance to define an open and standard interface through which the Non-RT RIC exposes SMO Framework functionalities to 'rApps' via the R1 Services exposure functionality. We will refer to this as the 'R1' interface” [29]
- ""Capabilities are offered for consumption and usage through the R1 services. Such services include, but are not limited to: A1-related services, O1-related services, O2related services, ...” [29]

The way in which the interface is designed is also unclear. A certain assumption can be made that the API calls are internal and do not take place via a network interface between different computers. Among other things, this assumption arises from the fact that the R1 interface is not mentioned in various O-RAN documents regarding the new, open interfaces. Conversely, based on the general definition of the R1 interface – “R1 Interface: Interface between rApps and Non-RT RIC framework via which R1 Services can be produced and consumed” [58] – it cannot be ruled out that the R1 interface is implemented as a network-based interface. Within the framework of this study, it is therefore assumed with regard to the best-case scenario that the R1 interface only deals with internal APIs; in the worst-case consideration, it is assumed that the R1 interface is accessible via the network.

Security safeguards are not currently specified for the R1 interface. It is only mentioned with regard to rApps that access to R1 services should only be possible after authentication and authorisation. Details on how this is to be implemented are also not specified at present. Due to the principle connection of O1, O2 and A1 services and the lack of current restrictions regarding the use of these interfaces, the risk analysis for the R1 interface is based on the results for the O1, O2 and A1 interfaces. The highest risk for one of these interfaces is regarded as the lower bound of the respective risk for the R1 interface. From a risk perspective, the R1 interface cannot be better than the O1, O2 or A1 interface (in the worst case).

It should also be noted that for the best-case/worst-case considerations, the situation regarding the O-RAN specifications is decisive. In the O-RAN worst case, the O1/O2 interface can be used to take control of the O-RAN components. Therefore, any 3GPP security safeguards implemented in this case can barely take effect, or they can be circumvented. Conversely, in the O-RAN best case, misuse of the R1 interface is prevented, which is why the implementation of 3GPP protective measures is less crucial. One exception here is the telco perspective with regard to the protection goal of confidentiality: in the best case, the Control Plane is afforded end-to-end protection, which also offers protection in the O-RAN worst case.",FALSE,TRUE,,R1 Interface,Open RAN Risk Analysis
E2 Interface Specification Gaps,"As detailed in chapter 2.3.5, the E2 interface is primarily used to manage the E2 nodes. In the course of this, a service (“RAN Function Network Interface (NI)” [59]) makes it possible to observe and change all data traffic on the network interfaces of the E2 nodes with the help of the E2 interface. Among other things, the following specific services are offered:

- “Copy of Complete message with header providing network interface type, identifier and direction with optional network interface timestamp”
- “Injection of Complete message with header providing target network interface type, identifier and direction and optional RIC Control Message Priority”

These services present a high risk potential from a security perspective. Meanwhile, the security safeguards provided for in the specification are currently considered optional. One specific requirement states that the E2 interface “shall support confidentiality, integrity and replay protection” [30]. A similar statement is also found in [51]. IPSec is proposed as a means of protection in [49]: “IPSEC: Should be used to protect E2 traffic” (similarly in [51]: “For the security protection at the IP layer on E2 interface, IPsec shall be supported”).  Based on the functional capabilities of the E2 interface and the corresponding security safeguards, the associated risks are assessed below.",FALSE,TRUE,,E2 Interface,Open RAN Risk Analysis
E2 Interface Attack (A),"O-RAN worst case/3GPP worst case (ww): Since no security safeguards are implemented in the worst case – apart from integrity protection of the Control Plane data – and the E2 interface allows full access to all 3GPP data traffic on the E2 nodes, a high risk to confidentiality, availability and accountability is essentially assumed for all stakeholders. With regard to “telco” stakeholders, a medium risk is assumed due to the 3GPP integrity assurance of the Control Plane data, as O-RAN-specific (configuration) data is unprotected at the same time.",FALSE,TRUE,,E2 Interface,Open RAN Risk Analysis
E2 Interface Attack (B),"O-RAN worst case/3GPP best case (wb): The situation changes here, as the 3GPP security safeguards offer protection related to the protection goals of confidentiality, integrity and accountability. The only question here is the extent to which “insider” attackers can gain access to the keys for securing the User Plane or to the unencrypted User Plane data. In principle, the corresponding keys are available in the CU. Further analyses are required to be able to exclude such risks with certainty, which is why the risks at hand are assessed as “medium”.",FALSE,TRUE,,E2 Interface,Open RAN Risk Analysis
E2 Interface Attack (C),"O-RAN best case/3GPP best case (bb): In the best case, the E2 interface and the 3GPP interfaces are secured. An outsider can therefore essentially only carry out denial-of-service attacks on the E2 interface. A low risk to confidentiality, integrity and accountability is therefore assumed for all stakeholders.

“Stupid” DoS attacks only have a limited effect here, as the O-RAN specifications stipulate that the RAN should be functional even if the E2 interface fails. However, it must be assumed that the RAN is functional with a limited quality of service – otherwise there would be no need for an E2 interface. Furthermore, the effects depend on the concrete design of the E2 node in question. By cleverly manipulating data traffic on the E2 interface, an attacker can achieve a high computing load at an E2 node due to the cryptographic operations associated with IPSec. In extreme cases (if separation is not implemented well), this could lead to insufficient computing power being available for the actual tasks of an E2 node. The extent to which “intelligent” DoS attacks can lead to a more severe impairment of quality of service also remains unclear. Attacks that deliberately delay data packets in such a way that the detection mechanisms regarding a failure of the E2 interface (timer, etc.) are not yet triggered are conceivable in this context. Furthermore, the extent to which it is possible to assign encrypted data traffic to individual E2 services or E2 functions in spite of IPSec encryption (for example, through traffic analyses regarding specific service communication traffic patterns) must also be investigated. This would enable the targeted disruption of individual E2 services or E2 functions and could lead to more severe effects compared to a complete “failure” of the E2 interface. Overall, the risk outsiders pose to availability is therefore considered medium with regard to all stakeholders.

At present, the position of “user” attackers is only slightly better. One new risk/threat stems from a user's ability to generate data traffic pertaining to the User Plane and Control Plane that can be regarded as legitimate in principle. The user can cleverly design this data traffic in such a way that it is included in the analysis and evaluation functions provided by the E2 interface (with regard to the 3GPP interfaces). Depending on how concrete these analysis and evaluation functions are, this influence can be seen as a springboard for further attacks. This is especially the case if the corresponding systems were not developed on the premise that recorded analysis and evaluation data should be regarded as potentially malicious in principle. For example, cleverly crafted User Plane or Control Plane data could be used for buffer overflow or injection attacks (SQL injection, etc.). It is also possible to influence the training of machine learning based on recorded data. Overall, such attacks are likely to primarily impact availability at first. However, since it is assumed in principle within the framework of the bestcase analysis that all systems work without errors, the overall risk assessment is not higher than in the case of an “outsider” attacker.

In the context of an insider, the attacker is assumed to have access to the E2 interface. A good example of this is an xApp. There is general talk of “policies” and “authorisations” with regard to xApps here and there in the specifications, but since there is no differentiation at all and no rights management is apparent with regard to the current specification of the E2 interface, it is currently assumed that an xApp can use the E2 interface without restriction, even in the bestcase scenario. If this is not the case for an xApp, it is very likely to be for the near-real-time RIC component.

Due to the assumed access to the E2 interface, availability attacks are easily possible for an insider, resulting in a high risk for all stakeholders. In terms of confidentiality, integrity and accountability, the perspective of an end user depends on which component the insider controls. If this component has both access to the E2 interface and knowledge of the keys used to secure the Uu interface, the risk is high. If the insider cannot access the cryptographic keys, the risk is low. As a general consequence, a medium risk is assumed here. This risk assessment is also adopted for the “state” stakeholder. With regard to the “telco” stakeholder, the situation is somewhat better on the one hand, since the Control Plane data traffic is secured from end to end. On the other hand, the E2 interface enables the “exposure of selected E2 Node data (e.g. configuration information (cell configuration, supported slices, PLMNs etc.), network measurements, context information, etc.) towards the Near-RT RIC” [30]. This data is regarded as sensitive trade secrets and, since it forms a basis for network operation, the data's integrity is considered important. A medium risk to the protection goals of confidentiality, integrity and accountability is therefore assumed with regard to the “telco” stakeholder.",FALSE,TRUE,,E2 Interface,Open RAN Risk Analysis
E2 Interface Attack (D),"O-RAN best case/3GPP word case (bw): Since the E2 interface is secured in the O-RAN best case, there are no direct options for “user” and “outsider” attackers to use the E2 interface for attacks. For an insider, accessing an E2 interface with no 3GPP security safeguards makes it possible to successfully breach almost every protection goal from nearly any perspective (again, with the exception of the integrity protection of the Control Plane data, which is also present in the 3GPP worst case). This results in a correspondingly high risk.",FALSE,TRUE,,E2 Interface,Open RAN Risk Analysis
Open Fronthaul M-Plane Software Injection Attacks,"The Open Fronthaul M-Plane interface makes it possible to manage the O-RU components as described in chapter 2.3.7. Particularly relevant from a risk perspective is the possibility of using the Open Fronthaul M-Plane interface to perform a software update with regard to the O-RU components. In principle, this enables an attacker to take full control of the O-RU by importing appropriately manipulated software. In accordance with the O-RAN specification, software protection is not strictly defined: “The use of compression and ciphering for the content of the software build is left to vendor implementation. The only file which shall never be ciphered is the manifest.xml file” [32]. However, the manifest in particular contains information that should be protected from manipulation. A special risk arises from the fact that with the help of the Open Fronthaul M-Plane interface, the download URL can be freely specified with regard to the software to be installed. It would be better to provide for restrictions here so that the configured host in the O-RU (for example) is “fixed”, which would limit the negative effects of possible manipulations in the transmission of the download URL (redirection to a server under the control of the attacker).",FALSE,TRUE,O-RU,Fronthaul Interface,Open RAN Risk Analysis
Open Fronthaul M-Plane Configuration Attacks,"In addition, it is assumed that access to the Open Fronthaul M-Plane interface facilitates successful attacks on availability, since the configuration data stored in the O-RU can be changed with the help of the Open Fronthaul M-Plane interface. This in turn can be used to impair quality of service or cause a complete functional failure of the O-RU.",FALSE,TRUE,O-RU,Fronthaul Interface,Open RAN Risk Analysis
OFH-M Security Specification Gap,"In contrast to almost all other interfaces, the considerations for securing the Open Fronthaul M-Plane interface are comparatively extensive and could even be seen as mandatory depending on one's interpretation. Specifically, the use of SSH (for which support is mandatory) or TLS (optional) is possible here. To minimise risk, the use of SSH should be dispensed with in favour of TLS (as already detailed in connection with the O1 and O2 interfaces). With regard to security, mutual authentication is mandatory.

The room for interpretation regarding mandatory applicable security mechanisms is mainly due to the unclear wording in the specification documents, such as in the statement: “The M-Plane provides end to end security as a mandatory feature.” [32] However, a “feature” is a property or capability of a component and therefore does not have to be applied. In contrast, a subsequent table states that the protection goals of confidentiality, integrity and accountability are implemented – however, the reason given here only refers to the basic support for SSH or TLS, but not to their mandatory use. As listed later in the table “Mandatory and Optional Features for O-RU Authentication”, all authentication mechanisms are marked as “optional to use”. It would be better to clarify here – if this is the intention of the specification – that although each individual mechanism is optional, at least one is mandatory.",FALSE,TRUE,,Fronthaul Interface,Open RAN Risk Analysis
OFH-M Default Credentials for Privileged Accounts,"Overall, however, the Open Fronthaul M-Plane interface contains many considerations with regard to security. It should be noted here that the description of the Open Fronthaul interfaces is also significantly more extensive overall compared to the other interfaces.

With regard to security, it should also be mentioned that a rights/roles concept is provided. There are six roles mentioned in the specification:
- sudo
- smo
- hybrid-odu
- nms
- fm-pm
- swm

With regard to the rights, a distinction is made between read, write, and execute. The rights for various functional groups (referred to as “namspace” in the specification) are then determined on the basis of the role in question. The role “sudo” has the most privileges. It is intended as an administrative role and thus grants full access to the O-RU, including the option to create users and assign roles to them.

The fact that a default user with a default password and “sudo” rights is provided for out-ofthe-box is not considered advisable with regard to the current specification. In the literature, it is frequently reported that default access of this kind is a starting point for successful attacks – no matter how strongly users are advised to change their default access data during initial setup. Here, mechanisms should be provided that enable initial setup without a known default user name and password – for example, by randomly generating this data and attaching it to the O-RU as documentation.",FALSE,TRUE,O-RU,Fronthaul Interface,Open RAN Risk Analysis
OFH-M Attack (A),"O-RAN worst case/3GPP worst case (ww): Assuming that the O-RAN security safeguards are also mandatory in the worst case, “user” and “outsider” attackers pose a low risk to the protection goals of confidentiality, integrity and accountability for all stakeholders. However, due to the unclear formulations and the associated uncertainty as to whether the O-RAN security safeguards really have to be implemented, they are upgraded to a medium risk. Similarly, a medium risk is assumed with regard to availability, since availability attacks on the Open Fronthaul M-Plane interface are possible as previously described for the other interfaces. Since no explicit statements regarding the tolerance of a failure of the Open Fronthaul M-Plane interface could be found, it is also assumed with regard to the Open Fronthaul M-Plane interface that cleverly executed availability attacks can lead to an impairment of RAN service quality.

With regard to “insider” attackers, the situation is somewhat different. An insider with access to the Open Fronthaul M-Plane interface can update the software on the O-RU components, which in turn gives them access to the User Plane and Control Plane data transmitted via the Uu interface. As this data is not protected further in the worst case, it is fully exposed to manipulation – hence the assessment of the corresponding risk as “high” for all stakeholders. Only the integrity of the Control Plane data exchanged between UE and AMF is unaffected by this. Since this data has mandatory integrity protection, the related risk is low. However, it is assumed that there is also (network management) data in the O-RU that is sensitive from the telco point of view (with regard to confidentiality, integrity and accountability) and can be accessed by an insider. Therefore, a medium risk is assumed overall.",FALSE,FALSE,O-RU,Fronthaul Interface,Open RAN Risk Analysis
OFH-M Attack (B),"O-RAN worst case/3GPP best case (wb): Here, the assessment is similar to the worstcase/worst-case scenario. There are some improvements due to the User and Control Plane data, which is secured by the 3GPP measures in this case. As a result, an insider cannot break the confidentiality or integrity of the Control Plane data, which is why the risk here is also assessed as medium overall. It is also assumed that the User Plane data is protected, since insiders are assumed to be the O-RU or O-DU and neither has access to the cryptographic keys used to secure the User Plane.",FALSE,FALSE,,Fronthaul Interface,Open RAN Risk Analysis
OFH-M Attack (C),"O-RAN best case/3GPP best case (bb): The assessments regarding “outsider” and “user” attackers follow from the already very positive risk assessment in the worst case. In the case of an insider, the attacker does have access to the Uu interface, but the data (as explained previously) is protected by the 3GPP measures in the best case, which is why the risk of violating the protection goals of confidentiality, integrity and accountability is rated as low.",FALSE,FALSE,,Fronthaul Interface,Open RAN Risk Analysis
OFH-M Attack (D),"O-RAN best case/3GPP worst case (bw): With regard to “user” and “outsider” attackers, the O-RAN security safeguards prevent successful attacks on the confidentiality, integrity, accountability and privacy of User and Control Plane data. The corresponding risk is thus low. With regard to “insider” attackers (who have access to the O-RU), a high risk arises due to the non-existent protection of the User Plane data. For the network operator, the risk to confidentiality is the same, whereby integrity is again secured by the mandatory safeguards on the Control Plane data between UE and AMF. The same does not apply to the management data in the O-RU or O-DU.",FALSE,FALSE,,Fronthaul Interface,Open RAN Risk Analysis
OFH CUS Attack (A),"3GPP worst case (ww): Access to the Open Fronthaul CUS-Plane interface enables an attacker to gain full access to the unprotected User and Control Plane data of the Uu interface. “Outsider” attackers thus pose a high risk for all stakeholders. A lower risk can only be assumed for the integrity of the Control Plane data due to the end-to-end protection between UE and AMF. However, this does not affect the integrity of the O-RAN-specific management data or, in particular, that of the very important time synchronisation data (see also chapter 2.3.6.3).",FALSE,FALSE,,Fronthaul Interface,Open RAN Risk Analysis
OFH CUS Attack (B),"3GPP best case (bb): For the “user” perspective, the situation improves in the best case with regard to the protection goals of confidentiality, integrity and accountability, since the Uu interface is secured by 3GPP security safeguards. In the case of accountability, the risk is assessed as medium, since 3GPP does not provide any protective measures in this regard and a user (in contrast to an “outsider” attacker) can import User Plane messages into the system that are recognised as correct during integrity checks.

Availability attacks on the Open Fronthaul CUS Plane interface also impact the usability of the 5G system as a whole, which is why a high risk to availability is assumed even in the bestcase scenario.

The 3GPP protections ensure that “insider” attackers also pose a low risk to the User Plane data transmitted on the Uu interface, since the symmetric keys used for protection are located in the O-CU.

The Control Plane data exchanged between UE and AMF is secured by the safeguards provided in the 3GPP best case, resulting in a lower risk for the network operator. However, the time synchronisation data (S-PLANE) is not secured in the 3GPP best case either, so that there is at least a medium risk here overall with regard to the protection goal of integrity.",FALSE,FALSE,,Fronthaul Interface,Open RAN Risk Analysis
OFH CTI Attack,"The CTI interface facilitates capacity reservation in the transport network that is used for the Open Fronthaul CUS plane. This is meant to ensure sufficient resources are always available to meet the high bandwidth and latency requirements of the Open Fronthaul CUS plane, especially in the case of a transport network shared with other services. It is currently assumed that reconfiguration of the network paths themselves (using the CTI interface) is not planned. In this respect, attacks on or access to the CTI interface do not result in any violations of the protection goals of confidentiality, integrity, accountability or privacy. It should be noted that only a digital signature is currently provided as a safeguard for the CTI interface, and its exact specification will only be defined in the future (“The full details of the CTI Signature will be specified in a future version of this specification.”) [33] This makes it possible to ensure integrity and accountability. Confidentiality, on the other hand, is not guaranteed. An attacker may thus be able to obtain information about network management and related strategies by eavesdropping on the CTI interface, which must be taken into account in particular with regard to the “telco” stakeholder. It should be noted that the aforementioned digital signature is optional. Furthermore, it is unclear how the mechanism is to function in concrete terms. A bit is provided in the CTI header that signals whether a digital signature is being used. Since this bit itself is not protected, it remains unclear whether the intended digital signature can actually have a meaningful protective effect.

Since the availability of the 5G RAN (especially with regard to the Uu interface) is to be ensured with the help of the CTI interface, availability attacks on the CTI interface itself enable corresponding attacks on 5G RAN availability. In the worst case, “outsider” attackers are assumed to pose a high risk to all stakeholders. The best-case scenario, meanwhile, may indeed be somewhat better due to the digital signature. Since it is unclear whether the current design of the digital signature can actually have a meaningful protective effect, a medium risk is assumed – especially because attacks that suppress CTI messages are possible despite the digital signature and the current specifications do not explicitly take into account a failure of the CTI interface.",FALSE,TRUE,,Fronthaul Interface,Open RAN Risk Analysis
Malicious Data Risks,"In particular, the other interfaces include those used for accessing/downloading external “enrichment information”, the AI/ML interfaces and the human-machine interface intended for SMO. The exact design of these interfaces is largely unspecified at the moment. With regard to access to enrichment information, it is envisaged that this should only take place via secure connections. In any case, this interface and the AI/ML interface represent a security risk in that untrusted providers of the associated information and data can influence management and configuration decisions of rApps/xApps. At the very least, this makes an impairment of availability possible. It is currently not assumed that a direct violation of the protection goals of confidentiality, integrity and accountability is possible with regard to the 3GPP User Plane and Control Plane data.

However, it should be noted here that the data provided by potentially untrustworthy external sources can also be cleverly generated to exploit possible security vulnerabilities (buffer overflow, etc.) in the processing components (especially in the rApps/xApps) and thereby take control of the affected components. The effects of this depend to a very large degree on the component compromised, the rights it has and the extent to which an escalation of privileges is possible. In principle, this can also result in a high risk for the other protection goals. The human-machine interface is designed to enable a person to influence the SMO components (e.g. in terms of their configuration). The concrete security risks associated with this depend very much on the – currently essentially unspecified – possibilities offered by this user interface. If, for example, it allows software updates to be applied to the various O-RAN components, then it is possible in principle to compromise these O-RAN components, which leads to security risks comparable to those stated in chapter 5.1 in terms of “RAN operator” attackers.",FALSE,FALSE,"Near-RT RIC, Non-RT RIC",External Interfaces,Open RAN Risk Analysis
rApp Access Control Ambiguity,"According to the specification, the R1 interface should be the only interface available to rApps. In this respect, the risk analysis for the R1 interface is an essential basis for the risk analysis of rApps. The only point to note here is that the specifications generally speak of access restrictions of individual rApps with regard to the R1 interface; how exactly this is to be implemented, the associated rights and role concept and, in particular, how granular a possible rights management system can be in restricting access to the R1 interface is currently unclear.",FALSE,TRUE,Non-RT RIC,R1 Interface,Open RAN Risk Analysis
rApp Isolation Requirements,"Besides the R1 interface, further threats arise from the fact that it can be assumed that a given rApp will be executed in a common hardware/execution environment together with other rApps and SMO functionalities. In the specifications at least, there is no indication that strict (physical) separation is planned with regard to rApps. Insufficient separation and isolation thus represent a possible vulnerability. This is especially true since one planned approach for implementing rApps is to use container-based separation (for example, with the help of Kubernetes). It should be noted that the original objective of separation using containers was not necessarily isolation for security reasons, but rather to avoid dependencies on the runtime environment provided by the operating system. This is why the separation mechanisms implemented and applied in current container solutions are relatively weak. As a result, there is a danger that an rApp could break out of isolation and thereby escalate the privileges granted to it.",FALSE,TRUE,"Non-RT RIC, rApps",,Open RAN Risk Analysis
rApp Parser Attacks,"From the “user” attacker perspective, it is conceivable to carry out parser attacks with the aim of exerting influence on an rApp through cleverly manipulated user data; in extreme cases this can lead to a compromise of the rApp. However, the data basis (in terms of message formats) for a risk assessment is not available, which is why this is only pointed out here.",FALSE,FALSE,"Non-RT RIC, rApps",,Open RAN Risk Analysis
rApp Language Attacks,"Furthermore, the specification does not specify the programming languages to be used for the implementation of an rApp. In principle, this allows the use of rather “insecure” programming languages such as C or C++, where the probability of vulnerabilities that can be exploited by attacks (e.g. through buffer overflows) is significantly higher than with “secure” programming languages such as Rust. Since the communication between rApps is an essential design element of the overall architecture, a malicious rApp could exploit programming errors in other rApps to gain control of a vulnerable rApp and then carry out malicious activities using the privileges granted to that rApp.",FALSE,TRUE,"Non-RT RIC, rApps",,Open RAN Risk Analysis
xApp Attack,"For the risk analysis for xApps, the same considerations apply as for rApps. The main difference is that the xApps have access to the A1 and E2 interfaces. In this respect, the risk analyses regarding these interfaces form the basis of the assessment. In addition, the xApps are “closer” to the 3GPP interfaces (Xn, NG, X2, E1, F1) because the xApps are part of the Central Unit (CU). Should an xApp succeed in breaking through the isolation mechanisms (assuming these are in place), there is a more immediate danger of the 3GPP User Plane or Control Plane data being accessed (in contrast to rApps14). Whether a higher security risk can be derived from this in general compared to rApps depends on the future, more concrete design of the respective frameworks and interfaces, since unlike xApps, rApps have the “advantage” of being able to access the O1 and O2 interfaces. In the following, it is conservatively assumed that both types of apps face the same risks with regard to the relevant security objectives.",FALSE,FALSE,"Near-RT RIC, xApps","A1 Interface, E2 Interface",Open RAN Risk Analysis
xApp Language Attack,See rApp Language Attacks.,FALSE,TRUE,"Near-RT RIC, xApps",,Open RAN Risk Analysis
xApp Parser Attacks,See rApp Parser Attacks.,FALSE,FALSE,"Near-RT RIC, xApps",,Open RAN Risk Analysis
xApp Isolation Requirements,See rApp Isolation Requirements.,FALSE,TRUE,"Near-RT RIC, xApps",,Open RAN Risk Analysis
xApp Access Control Ambiguity,See rApp Access Control Ambiguity.,FALSE,TRUE,"Near-RT RIC, xApps",,Open RAN Risk Analysis
AI/ML Data Poisoning,"In addition to the general uncertainties resulting from the use of machine learning (where decisions are based on correlations, not causalities), from a security perspective there is the particular problem that numerous attacks are known that negatively influence the trained model with the help of manipulated input data. The result is a trained model that either generally delivers incorrect results during inference (application of the model) or – and this can be the greater risk for some use cases – delivers a correct result in almost all cases and only delivers the incorrect result desired by the attacker in situations that can be determined by the attacker. Based on the potential attacks described and the way in which machine learning is to be used in O-RAN according to the current specification – which is still quite general and unspecific with regard to machine learning – it is assumed that there is a medium risk to availability (i.e. quality of service may be negatively affected). Depending on which parameters are specifically included in the training of a model, legitimate RAN users always present a certain minimum level of risk, adding to the risk already posed by outsiders.",FALSE,FALSE,"Near-RT RIC, Non-RT RIC",,Open RAN Risk Analysis
AI/ML Model Stealing,"From the operator's (telco's) point of view, another security risk is that the confidentiality of the trained model itself may be compromised. The assumption here is that trained models represent sensitive assets, i.e. they should not become known in the sense of a trade secret. In the literature, there are corresponding “model stealing” attacks that can allow an attacker to derive the parameters of the model or at least to (strongly) restrict their respective range of values by means of clever queries or by manipulating the system either on the basis of the answers or generally on the basis of the reactions of the system. Whether such attacks can actually be carried out successfully in the case of O-RAN depends to a large extent on the concrete application scenario of a given model. Due to the current lack of clarity, a medium risk for the telco is assumed here because even outsiders could carry out successful attacks, and at minimum, (supposedly) legitimate RAN users certainly could as well.",FALSE,FALSE,"Near-RT RIC, Non-RT RIC",,Open RAN Risk Analysis
