Threat ID,Threat title,Threat agent,Vulnerability,Threatened Asset,Affected Components,Threat Type,Extra Interfaces
T-SharedORU-12,O-DU Tenant accesses O-CU Tenant,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-37,O-CU Tenant,O-RAN specific,
T-SharedORU-13,SMO Host accesses O-CU Tenant,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-37,O-CU Tenant,O-RAN specific,
T-SharedORU-14,SMO Tenant accesses O-CU Host,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-36,O-CU Host,O-RAN specific,
T-SharedORU-15,Physical port access to Shared O-RU Host/Tenant,All,Weak physical layer authentication can be exploited to gain access.,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-16,Physical port access to O-DU Host/Tenant,All,Weak physical layer authentication can be exploited to gain access.,"ASSET-C-34, ASSET-C-35","O-DU Host, O-DU Tenant",O-RAN specific,
T-SharedORU-17,Physical port access to O-CU Host/Tenant,All,Weak physical layer authentication can be exploited to gain access.,"ASSET-C-36, ASSET-C-37","O-CU Host, O-CU Tenant",O-RAN specific,
T-SharedORU-18,Malicious User Login Attempt to SMO Host/Tenant,All,Weak account management and/or authentication can be exploited to gain access.,"ASSET-C-38, ASSET-C-39","SMO Host, SMO Tenant",O-RAN specific,
T-SharedORU-19,Malicious User Login Attempt to O-CU Host/Tenant,All,Weak account management and/or authentication can be exploited to gain access,"ASSET-C-36, ASSET-C-37","O-CU Host, O-CU Tenant",O-RAN specific,
T-SharedORU-20,Malicious User Login Attempt to O-DU Host/Tenant,All,Weak account management and/or authentication can be exploited to gain access,"ASSET-C-32, ASSET-C-33","O-DU Host, O-DU Tenant",O-RAN specific,
T-SharedORU-21,Malicious User Login Attempt to Shared O-RU Host/Tenant,All,Weak account management and/or authentication can be exploited to gain access,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-22,Unauthorized internal threat actor gains access to data in Shared O-RU,All,Compromised credentials or weak or misconfigured authorization to gain access to view or modify sensitive data,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-23,Unauthorized external threat actor gains access to data in Shared O-RU,All,Compromised credentials or weak or misconfigured authorization to gain access to view or modify sensitive data,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-24,Data exposure at Shared O-RU,All,Weak confidentiality protection exploited to view sensitive data,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-25,Shared O-RU data exposure at SMO,All,Weak confidentiality protection exploited to view sensitive data,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-26,Shared O-RU data exposure at O-DU,All,Weak confidentiality protection exploited to view sensitive data,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-27,Exposed data in transit between Shared O-RU and O-DU Host/Tenant,All,Weak confidentiality protection exploited to view sensitive data,"ASSET-C-31, ASSET-C-24, ASSET-C-25","Shared O-RU, M-Plane, CUS-Plane",O-RAN specific,
T-SharedORU-28,Exposed data in transit between Shared O-RU and SMO Host/Tenant,All,Weak confidentiality protection exploited to view sensitive data,"ASSET-C-31, ASSET-C-22","Shared O-RU, O1",O-RAN specific,
T-SharedORU-29,Modify/Delete OFH C-Plane messages,All,Weak integrity protection exploited to modify or delete control messages,"ASSET-C-31, ASSET-C_34, ASSET-C-35, ASSET-C-25","Shared O-RU, O-DU Host, O-DU Tenant, CUS-Plane",O-RAN specific,
T-SharedORU-30,Clock hijacking on OFH S-Plane,All,Weak authorization exploit can also result in spoofing of the Grand Master clock for an availability attack,"ASSET-C-31, ASSET-C_34, ASSET-C-35, ASSET-C-25","Shared O-RU, O-DU Host, O-DU Tenant, CUS-Plane",O-RAN specific,
T-SharedORU-31,Parameter conflicts at Shared O-RU,All,Conflicting parameter settings degrade performance or cause an outage.,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-32,Volumetric DDoS attack from O-DU targeting Shared O-RU,All,"High-rate of malformed, mis-sequenced, invalid, or valid packets to cause a Denial of Service","ASSET-C-31, ASSET-C-24, ASSET-C-25","Shared O-RU, M-Plane, CUS-Plane",O-RAN specific,
T-SharedORU-33,Volumetric DDoS attack from SMO targeting Shared O-RU,All,"High-rate of malformed, mis-sequenced, invalid, or valid packets to cause a Denial of Service","ASSET-C-31, ASSET-C-22","Shared O-RU, O1",O-RAN specific,
T-SharedORU-34,Volumetric DDoS attack targeting O-DU,All,"High-rate of malformed, mis-sequenced, invalid, or valid packets to cause a Denial of Service","ASSET-C_34, ASSET-C-35, ASSET-C-24, ASSET-C-25","O-DU Host, O-DU Tenant, M-Plane, CUS-Plane",O-RAN specific,
T-SharedORU-35,Shared O-RU initialization hijacking by DHCP compromise,All,Compromise DHCP server and use it to prevent Shared O-RU from reaching carrier-active state causing a Denial of Service,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-36,Shared O-RU M-plane hijacking by DNS compromise,All,The name resolution of FQDN can be manipulated by an attacker using a compromised DNS server and prevent Shared O-RU from reaching carrier-active state causing a Denial of Service,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-37,Misconfiguration of MNO Host Role,All,A threat actor could exploit an incorrectly assigned role of Host to control function of the Shared O-RU,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-38,Incorrect Assignment of Spectrum Resources,All,"Tenant access to the wrong resources, due to malicious intent or could be exploited to gain access to information.",ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-39,Chain of Trust in a Multi-Tenant Environment,All,Untrustworthy certificates can be exploited to gain access to the Shared O-RU,"ASSET-C-31, ASSET-C-34, ASSET-C-35, ASSET-C-36, ASSET-C_37, ASSET-C-38, ASSET-C-39","Shared O-RU, O-DU Host, O-DU Tenant, O-CU Host, O-CU Tenant, SMO Host, SMO Tenant",O-RAN specific,
T-SharedORU-40,Hijack of MNO Host Role,All,"Elevation of privilege enables the tenant, acting as host, to have authorized access to sensitive data, credentials, and system privileges",ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-41,Not Released Host Role (Host Role resume),All,"Elevation of privilege enables the tenant, acting as host, to have authorized access to sensitive data, credentials, and system privileges",ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-42,Misuse of “sudo” privileges,All,"Elevation of privilege enables the tenant, acting as host, to have authorized access to sensitive data, credentials, and system privileges",ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-43,Eavesdropping of unprotected CUSM-plane data within shared O-RU,All,Eavesdrop sensitive data between neighbor tenants and the host,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-52,Thrashing O-DU Failovers,All,Threat actor spoofs SMO to cause O-DU-1 and O-DU-2 to thrash between Active state and Standby state,"ASSET-C-34, ASSET-C-22","O-DU, O1",O-RAN specific,
T-SharedORU-53,Dual (Dueling) Active O-DUs,All,Threat actor spoofs SMO to cause O-DU-1 and O-DU-2 to both be in Active state.,"ASSET-C-34, ASSET-C-22","O-DU, O1",O-RAN specific,
T-SharedORU-54,Modify/Inject O1 messages at the SMO,All,"Threat actor spoofs O-DU to modify, inject, flood O1 messages to the SMO to prevent SMO detection of O-DU failure.","ASSET-C-38, ASSET-C-22","SMO, O1",O-RAN specific,
T-SharedORU-55,Set Incorrect Array-Carrier configuration on O-DU (Standby),All,Threat actor spoofs SMO to set or modify the pre-configured array-carrier configuration on the O-DU in Standby state.,"ASSET-C-34, ASSET-C-22","O-DU, O1",O-RAN specific,
T-SharedORU-56,Modify Array-Carrier pre-configuration on Shared O-RU,All,Threat actor can gain access to Shared O-RU to modify its pre-configured array-carrier,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-57,Modify/Inject M-Plane messages with Array-Carrier configuration,All,Threat actor Modifies/Injects M-Plane messages with Array-Carrier configuration sent to the Shared O-RU.,"ASSET-C-31, ASSET-C-24","Shared O-RU, M-Plane",O-RAN specific,
T-GEN-01,Software flaw attack,All,"Vulnerable code exploits, Design Weakness","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-GEN-02,Malicious access to exposed services using valid accounts,All,Lack of authentication,"ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-GEN-03,Untrust binding between the different O-Cloud layers,All,Lack of integrity verification during boot or runtime,"ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-GEN-04,Lack of Authentication & Authorization in interfaces between O-Cloud components,All,"Lack of authentication, Insecure interfaces","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs, O2",General,
T-GEN-05,Unsecured credentials and keys,All,"Insecure O-Cloud APIs, Lack of integrity verification during boot or runtime","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32",O-Cloud,General,
T-GEN-06,Sensitive application data cache exploitation,All,"Sensitive information disclosure, Privilege escalation in Applications","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VM-C-01,Abuse of a privileged VM/Container,All,Misconfiguration or Insecure VM/Container configurations,"ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VM-C-02,VM/Container escape attack,All,"Shared tenancy vulnerabilities (multitenant environment), Lack of strong VM/Container isolation, lack of authentication, Insecure networking, Unrestricted communication between VMs/Containers","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VM-C-03,VM/Container data theft,All,"Lack of authentication, insecure data storage","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VM-C-04,VM/Container migration attacks,All,"Host misconfiguration, lack of authentication, memory pages copied in clear, vulnerable code exploits","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VM-C-05,Changing virtualization resource without authorization,All,"Insecure O1/O2 interfaces, Lack of authentication/access control on IMS/DMS","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VM-C-06,Failed or incomplete VNF/CNF termination or releasing of resources,All,"Lack of authentication, misconfigurations (VNF/CNF, Host OS, Hypervisor/Container Engine)","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-IMG-01,VM/Container images tampering,All,"Compromised VM/Container images (Build machine attacks, Supply chain attacks) at rest, lack of authentication, misconfiguration or Insecure VM/Container images configurations","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs images",General,
T-IMG-02,Insecure channels with images repository,All,Compromised VM/Container images in transit,"ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs images",General,
T-IMG-03,Secrets disclosure in VM/Container images,All,Secret exposure in VNF/CNF images,"ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs images",General,
T-IMG-04,Build image on VL,All,"Host misconfiguration, lack of authentication","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs images",General,
T-VL-01,VM/Container hyperjacking attack,All,"Host misconfiguration, lack of authentication","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VL-02,Boot tampering,All,"Host misconfigurations, lack of authentication","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-VL-03,Attack internal network services,All,"Insecure O-Cloud APIs, Lack of authentication","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32",O-Cloud,General,
T-O2-01,MitM attacks on O2 interface between O-Cloud and SMO,All,"Insecure O2 interface, lack authentication","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32",O2,General,
T-OCAPI-01,MitM attacks on O-Cloud interface between VNFs/CNFs and the virtualization layer,All,"Insecure O-Cloud APIs, lack of authentication","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-HW-01,Cross VM/Container side channel attacks,All,"Flaws in chip design, use of shared hardware, Lack of isolation, lack of authentication","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","O-Cloud, Apps/VNFs/CNFs",General,
T-HW-02,MitM attacks on the interface between virtualization layer and hardware,All,"Insecure interfaces between HW and VL layers, lack of authentication, misconfiguration","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32",O-Cloud,General,
T-ADMIN-01,Denial of service against NFO/FOCOM,All,"Lack of authentication, vulnerable code exploits, design weakness, insecure O2 interface","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","NFO/FOCOM, O-Cloud, Apps/VNFs/CNFs",General,
T-ADMIN-02,Abuse a O-Cloud administration service,All,"Lack of authentication, secret exposure (insufficient safeguarding of credentials), vulnerable code exploits, design weakness","ASSET-D-12, ASSET-D-13, ASSET-D-14, ASSET-D-15, ASSET-D-16, ASSET-D-17, ASSET-D-18, ASSET-D-19, ASSET-D-20, ASSET-D-29, ASSET-D-31, ASSET-D-32","NFO/FOCOM, O-Cloud, Apps/VNFs/CNFs",General,
T-AAL-01,Attacker exploits insecure API to gain access to hardware accelerator resources,All,"Insecure AAL APIs and interfaces
 Lack authentication and authorization",ASSET-D-33 to ASSET-D-38,"ASSET-C-29, ASSET-C-30",General,
T-AAL-02,Internal Overload DoS attack targeting AAL services,All,"Insecure AAL APIs and interfaces 
 Lack authentication and authorization",ASSET-D-33 to ASSET-D-38,"ASSET-C-29, ASSET-C-30",General,
T-AAL-03,Fail to clear resources,All,"Insecure AAL APIs
 Flaws in AAL design
 Lack of secure deletion of data after process termination",ASSET-D-33 to ASSET-D-38,"ASSET-C-29, ASSET-C-30",General,
T-AAL-04,HAM compromise,All,"Insecure HAM APIs
 Flaws in HAM design
 Lack of access control",ASSET-D-33 to ASSET-D-38,"ASSET-C-29, ASSET-C-30",General,
T-AAL-05,Malicious memory accesses,All,"Insecure AAL APIs
 Flaws in AAL design
 Unrestricted memory access
 Lack of access control",ASSET-D-33 to ASSET-D-38,"ASSET-C-29, ASSET-C-30",General,
T-AAL-06,Firmware attacks,All,"Weak accelerator design
 Misconfiguration
 Insecure AAL/HAM APIs",ASSET-D-33 to ASSET-D-38,"ASSET-C-29, ASSET-C-30",General,
T-O-CLOUD-ID-01,ID reuse in O-Cloud's object lifecycle,All,"Insufficient data cleanup
 Weak isolation mechanisms
 Inadequate monitoring and Logging
 Lack of ID randomization
 Inefficient access controls
 No Timestamping or Versioning
 Lack of notification mechanisms","ASSET-D-14, ASSET-D-15, ASSET-D-18, ASSET-D-29",ASSET-C-08,General,
T-O-CLOUD-ID-02,Node redundancy in O-Cloud deployments,All,"Inadequate decommissioning procedures
 Weak identity management
 Insufficient data cleanup
 No state verification
 Lack of Resource Auditing
 Lack of notification mechanisms
 Inadequate monitoring and Logging","ASSET-D-14, ASSET-D-15, ASSET-D-18, ASSET-D-29",ASSET-C-08,General,
T-O-CLOUD-ID-03,O-Cloud ID mismanagement,All,"Predictable ID Generation
 Lack of ID validation
 Inefficient synchronization
 No ID revocation mechanism
 Inadequate access controls
 Lack of Namespace Segregation","ASSET-D-14, ASSET-D-15, ASSET-D-18, ASSET-D-29",ASSET-C-08,General,
T-OPENSRC-01,Developers use SW components with known vulnerabilities and untrusted libraries that can be exploited by an attacker through a backdoor attack,All,"· Inaccurate inventories of open-source software
 · Lack of consistent Supply Chain traceability and security
 · Lack of coding best practices
 · Modules with known vulnerabilities and untrusted libraries",All,All,General,
T-OPENSRC-02,A trusted developer intentionally inserts a backdoor into an open source code O-RAN component,All,Bugs in open source software caused by mistakes and human error,All,All,General,
T-PHYS-01,An intruder into a site gains physical access to O-RAN components to cause damage or access sensitive data,All except Script kiddies,"· Improper physical security protection of data centres, PNFs, operation areas, etc.
 · Improper protection to power outages (power supply)
 · Improper protection against environmental disasters
 · Improper maintenance and monitoring of hardware parameters
 · Hardware backdoor",All,All,General,
T-PHYS-02,An intruder into the exchange over the Fronthaul cable network attempts to gain electronic access to cause damage or access sensitive data,All except Script kiddies,Physical access to the open Fronthaul cable network,"ASSET-D-01, ASSET-D-02, ASSET-D-04, ASSET-D-05","O-RU, O-DU",General,
T-RADIO-01,"Disruption through radio jamming, sniffing and spoofing",All except Script kiddies,Weakness of wireless cellular communications,ASSET-D-06,"UE, O-RU, O-DU",General,
T-RADIO-02,DoS attacks on cognitive radio networks,All except Script kiddies,Weakness of wireless cellular communications,ASSET-D-06,"UE, O-RU, O-DU",General,
T-AIML-IM-1,Training Data Control,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-25, ASSET-D-26, ASSET-D-27, ASSET-D-28","Near-RT RIC, Non-RT RIC, xAPPs, rApps",General,
T-AIML-IM-2,Testing Data Control,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-25, ASSET-D-26, ASSET-D-27, ASSET-D-28","Near-RT RIC, Non-RT RIC, xAPPs, rApps",General,
T-AIML-IM-3,Label Manipulation,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-25, ASSET-D-26, ASSET-D-27, ASSET-D-28","Near-RT RIC, Non-RT RIC, xAPPs, rApps",General,
T-AIML-IM-4,AI/ML Query Exploitation,All,"Vulnerabilities in data sources, vulnerabilities in training database, vulnerabilities in AI/ML APIs","ASSET-D-26, ASSET-D-27, ASSET-D-28","Near-RT RIC, Non-RT RIC, xAPPs, rApps",General,
T-AIML-DP-01,Black-box Data Poisoning,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-10, ASSET-D-25, 
 ASSET-D-26, ASSET-C-12,
 ASSET-C-02, ASSET-C-11","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, xApps, rApps, Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-DP-02,Grey-box Data Poisoning,All,"Vulnerabilities in data sources, vulnerabilities in data transport, vulnerabilities in training database","ASSET-D-10, ASSET-D-25, 
 ASSET-D-26, ASSET-C-12,
 ASSET-C-02, ASSET-C-11, ASSET-C-22, ASSET-C-14,
 ASSET-C-40","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, xApps, rApps, Near-RT-RIC SW, Non-RT-RIC SW, O1 interface for streaming data, A1 interface, E2 interface for streaming data",General,
T-AIML-DP-03,White-box Data Poisoning,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-10, ASSET-D-25, 
 ASSET-D-26, ASSET-C-12,
 ASSET-C-02, ASSET-C-11, ASSET-C-22, ASSET-C-14,
 ASSET-C-40","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, xApps, rApps, Near-RT-RIC SW, Non-RT-RIC SW, O1 interface for streaming data, A1 interface, E2 interface for streaming data",General,
T-AIML-MEI-01,Information Access - Membership Inference,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-26, 
 ASSET-C-02, 
 ASSET-C-11","Trained ML model, xApps, rApps, Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-MEI-02,Inference Technique - Membership Inference,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-26, 
 ASSET-C-02, 
 ASSET-C-11","Trained ML model, xApps, rApps, Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-MEI-03,Target based - Membership Inference,All,"Vulnerabilities in data sources, vulnerabilities in training database","ASSET-D-26, 
 ASSET-C-02, 
 ASSET-C-11","Trained ML model, xApps, rApps, Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-ME-01,Intellectual Property Theft,All,"Vulnerabilities in data sources, vulnerabilities in training database, vulnerabilities in ML model storage, vulnerabilities in ML model transfer","ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11","Database holding data from xApp applications and E2, Training or test data sets collected externally or internally, Trained ML model, Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-ME-02,Data Privacy Violations,All,"Vulnerabilities in data sources, vulnerabilities in training database, vulnerabilities in ML model storage, vulnerabilities in ML model transfer","ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11","Database holding data from xApp applications and E2, Training or test data sets collected externally or internally, Trained ML model, Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-ME-03,Adversarial Attacks with Stolen Models,All,"Vulnerabilities in data sources, vulnerabilities in training database, vulnerabilities in ML model storage, vulnerabilities in ML model transfer","ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11","Database holding data from xApp applications and E2, Training or test data sets collected externally or internally, Trained ML model, Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-MOI-01,Black-box Model Inversion,All,"Model is overfitted, model may have memorized specific training examples, model API not properly protected","ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-D-27","Near-RT RIC, Non-RT RIC, xAPPs, rApps",General,
T-AIML-MOI-02,White-box Model Inversion,All,"Model is not protected, training data is not protected, model is overfitted, model may have memorized specific training examples, model API not protected","ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-D-27, ASSET-D-28","Near-RT RIC, Non-RT RIC, xAPPs, rApps",General,
T-AIML-SC-01,Data Poisoning via Supply Chain,All,"Vulnerabilities in data sources, vulnerabilities in training database, vulnerabilities in ML model transfer","ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11, ASSET-C-12","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, ML components deploying machine learning (xApps, rApps),Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-SC-02,Model Tampering,All,Vulnerabilities in ML model transfer,"ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11, ASSET-C-12","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, ML components deploying machine learning (xApps, rApps),Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-SC-03,Backdoor via Supply Chain,All,Vulnerabilities in ML model transfer,"ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11, ASSET-C-12","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, ML components deploying machine learning (xApps, rApps),Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-SC-04,Hardware Tampering,All,Vulnerabilities in the AI processing HW,"ASSET-D-10, ASSET-D-26, ASSET-C-02, ASSET-C-11, ASSET-C-12","Database holding data from xApp applications and E2 Node, Trained ML model, ML components deploying machine learning (xApps, rApps),Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-SC-05,Insecure Maintenance APIs,All,Vulnerabilities in the ML maintenance APIs,"ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11, ASSET-C-12","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, ML components deploying machine learning (xApps, rApps),Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-SC-06,Third-party Libraries and Dependencies,All,Vulnerabilities in the ML- related SW,"ASSET-D-10, ASSET-D-25, ASSET-D-26, ASSET-C-02, ASSET-C-11, ASSET-C-12","Database holding data from xApp applications and E2 Node, Training or test data sets collected externally or internally, Trained ML model, ML components deploying machine learning (xApps, rApps),Near-RT-RIC SW, Non-RT-RIC SW",General,
T-AIML-OI-01,Denial of Service Impacting Output Integrity,All,"Vulnerabilities in data sources, vulnerabilities in training database, vulnerabilities in ML model storage, vulnerabilities in ML model transfer","ASSET-D-25,ASSET-D-26, ASSET-D-27, ASSET-D-07,ASSET-C-12,
 ASSET-C-02, ASSET-C-11","Training or test data sets collected externally or internally, Trained ML model, ML prediction results,A1 policies,E2 node data, Near-RT-RIC SW, Non-RT-RIC SW",General,
