Risk ID,Threat Key,Risk Description,Impact Description,CIA,Severity Level,Likelihood Level,Applied factors,Rationale,Considered Assumptions,Risk Score
T-rAPP-01,T-rAPP-01,Conflicting rApps impact O-RAN system functions to degrade performance or trigger a DoS,rApps in the Non-RT RIC performing different functions can be provided by different vendors. This creates the risk that different rApps will take conflicting decisions to set conflicting policies. This can result in performance degradation or outage.,"C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any rApp security measures around the Onboarding onto SMO and deployment onto Non RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for rApps yet.",,High
T-rAPP-02,T-rAPP-02,An attacker exploits rApp vulnerability for data breach or denial of service,"Vulnerabilities can potentially exist in any rApp. If attackers can find exploitable rApp, they can disrupt the offered network service and potentially take over another rApp or the non-RT RIC. The consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 interface, extract sensitive information, etc.","C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any rApp security measures around the Onboarding onto SMO and deployment onto Non RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for rApps yet.",,High
T-rAPP-03,T-rAPP-03,An attacker exploits rApps misconfiguration,"Security misconfiguration, such as open ports or enabled unused protocols, can potentially exist in an rApp. If attackers can find exploitable rApp, they can disrupt the offered network service and potentially take over another rApp or the whole non-RT RIC. The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 interface, extract sensitive information, etc.","C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any rApp security measures around the Onboarding onto SMO and deployment onto Non RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for rApps yet.",,High
T-rAPP-04,T-rAPP-04,An attacker bypasses authentication and authorization,An Attacker can exploit an rApp that has weak or misconfigured authentication and authorization to gain access to the rApp and pose as a tenant.,"C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any rApp security measures around the Onboarding onto SMO and deployment onto Non RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for rApps yet.",,High
T-rAPP-05,T-rAPP-05,An attacker deploys and exploits malicious rApp,"An untrusted source may intentionally provide a malicious rApp. A trusted source may have a backdoor intentionally inserted in the rApp. If attackers can find exploitable rApp, they can disrupt the offered network service and potentially take over another rApp or the whole Non-RT RIC. Malicious rApps could impact Non-RT RIC functions such as AI/ML model training, A1 policy management, Enrichment information management, Network Configuration Optimization in the purpose of performance degradation, DoS,","C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any rApp security measures around the Onboarding onto SMO and deployment onto Non RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for rApps yet.",,High
T-rAPP-06,T-rAPP-06,An attacker bypasses authentication and authorization using an injection attack,"It is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.","C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any rApp security measures around the Onboarding onto SMO and deployment onto Non RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for rApps yet.",,High
T-rAPP-07,T-rAPP-07,rApp exploits services,A malicious rApp or a trusted but compromised rApp can exploit services such as O1 services across the R1 interface,A,High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any rApp security measures around the Onboarding onto SMO and deployment onto Non RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for rApps yet.",,High
T-PNF-01,T-PNF-01,An attacker compromises a PNF to launch attacks against VNFs/CNFs,"Data tampering and information disclosure;
 
 Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data;","C, I",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)",This is a likely attack but may need physical access to the PNF.,,High
T-PNF-01A,T-PNF-01,An attacker compromises a PNF to launch Denial of Service attacks against VNFs/CNFs,Denial of service from within for component access and/or function/service offered,A,High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)",This is a likely attack but may need physical access to the PNF.,,High
T-SMO-01,T-SMO-01,An attacker can exploit the misconfigured/poorly implemented authentication mechanism on SMO functions,The data stored in the SMO may be exposed/manipulated to an attacker.,"C, I",High,High,"• ZTA (High)
 • Threat event initiation (High)","O-RAN Alliance has not specified yet any SMO security measures around authentication, access control, secure configuration, etc.",,High
T-SMO-02,T-SMO-02,An attacker can exploit the misconfigured/poorly implemented authorization on SMO functions,"An attacker can be able to perform certain actions, e.g. disclose O-RAN sensitive information or alter O-RAN components.","C, I, A",High,High,"• ZTA (High)
 • Threat event initiation (High)","O-RAN Alliance has not specified yet any SMO security measures around authentication, access control, secure configuration, etc.",,High
T-SMO-03,T-SMO-03,Overload DoS attacks at SMO,Inability to deal with such events affects availability of SMO data and functions.,A,Medium,Medium,"• ZTA (Medium)
 • Threat event initiation (High)","O-RAN Alliance has not specified yet any SMO security measures around authentication, access control, secure configuration, etc.",,Medium
T-OPENSRC-01,T-OPENSRC-01,Developers use SW components with known vulnerabilities and untrusted libraries that can be exploited by an attacker through a backdoor attack,"Attackers can exploit a vulnerability on the open source code and infects a hypervisor, operating system, VM or container with a malware.","C, I, A",High,High,Open-source/COTS support (High),Vulnerability handling and patch management are not yet defined by O-RAN Alliance. Several CVE have already been discovered on open source software.,,High
T-OPENSRC-02,T-OPENSRC-02,A trusted developer intentionally inserts a backdoor into an open source code O-RAN component.,"Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data;","C, I, A",High,Medium,Open-source/COTS support (High),Vulnerability handling and patch management are not yet defined by O-RAN Alliance. Several CVE have already been discovered on open source software.,,High
T-PHYS-01,T-PHYS-01,An intruder into a site gains physical access to O-RAN components to cause damage or access sensitive data,"Data tampering and information disclosure;
 Denial of service from within for component access and/or function/service offered;
 Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data;","C, I, A",High,Medium,Exposure (Medium),O-RAN system has many external interfaces. Different O-Cloud deployment models can be used to implement O-RAN. Several scenarios to implement O-RUs and O-DUs are supported by O-RAN.,,High
T-PHYS-02,T-PHYS-02,An intruder into the exchange over the Fronthaul cable network attempts to gain electronic access to cause damage or access sensitive data,"Data tampering and information disclosure;
 Denial of service from within for component access and/or function/service offered;
 Unauthenticated/unauthorized access of the O_RAN component leads to compromised performance and/or function/service, lateral attack towards other O-RAN system component(s) from inside, and loss/stolen/tampering of sensitive data;","C, I, A",High,Medium,Exposure (Medium),O-RAN system has many external interfaces. Different O-Cloud deployment models can be used to implement O-RAN. Several scenarios to implement O-RUs and O-DUs are supported by O-RAN.,,High
T-RADIO-01,T-RADIO-01,"Disruption through radio Jamming , Sniffing and Spoofing",Service disruption and information exposure,"C, I, A",High,High,Exposure (High),"These attacks are common and not specific to O-RAN. They are likely to occur, hence they need more investigation and consideration. Mitigations to reduce these types of attacks should be defined by O-RAN Alliance.",,High
T-RADIO-02,T-RADIO-02,DoS attacks on cognitive radio networks,Service disruption,A,Medium,High,Exposure (High),"These attacks are common and not specific to O-RAN. They are likely to occur, hence they need more investigation and consideration. Mitigations to reduce these types of attacks should be defined by O-RAN Alliance.",,High
T-R1-01,T-R1-01,A malicious actor gains unauthorized access to R1 services,“Service management and exposure services Producer” determines whether the Service Producer is authorized to produce the service. An attacker can perform a spoofing attack to gain unauthorized access to R1 services.,"C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any R1 security measures.,,High
T-R1-02,T-R1-02,Attacker modifies Service Heartbeat message to cause Denial of Service,Attacker can exploit the Service Heartbeat on the R1 by modifying or inserting heartbeat messages to cause denial of service,"C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any R1 security measures.,,High
T-R1-03,T-R1-03,Malicious actor bypasses authentication to Request Data,Attacker can exploit password-based authentication on the R1 to request unauthorized data. Weak password management can easily be exploited. (Certificate-based mutual authentication using TLS and PKI X.509 certificates is recommended).,"C, I, A",High,High,"• ZTA (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any R1 security measures.,,High
T-R1-04,T-R1-04,Malicious actor bypasses authorization to Discover Data,“Data registration and discovery service producer” determines whether the Data Producer is authorized to produce the data types. An attacker can perform a spoofing attack to discover available data.,"C, I, A",High,High,"• ZTA (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any R1 security measures.,,High
T-R1-05,T-R1-05,A malicious actor gains unauthorized access to data,An attacker can perform a spoofing attack to exploit the Data request and subscription service for the purpose to gain unauthorized access to data.,"C, I, A",High,High,"• ZTA (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any R1 security measures.,,High
T-R1-06,T-R1-06,Malicious actor modifies a Data Request,"Data Consumers consume the “Data request and subscription service” to request data instances or subscribe to them. An attacker can modify a request to force the consumer to receive a different data set then that intended. Without checks, the received data could be processed, leading to erroneous decisions or triggers.","C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any R1 security measures.,,High
T-R1-07,T-R1-07,Malicious actor snoops Data Delivery to the Data Consumer,"Data delivery messages relate to a particular data request or subscription. The data can be delivered to the Data Consumer in different ways, including:
  • as part of the payload of a data delivery message,
 • as a data stream,
  • from e.g., a REST endpoint, a message bus or object store location.
 An attacker can perform snooping, injection, or modification attacks in the Delivery of Data process.",A,High,High,"• ZTA (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any R1 security measures.,,High
T-A1-01,T-A1-01,Untrusted peering between Non-RT-RIC and Near-RT-RIC,"Malicious Non-RT-RIC peers with a Near-RT-RIC over the A1 interface, or a malicious Near-RT-RIC peers with a Non-RT-RIC over the A1 interface, due to weak mutual authentication.","C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any A1 security measures.,,High
T-A1-02,T-A1-02,Malicious function or application monitors messaging across A1 interface,Attacker gains access to A1 messaging for reconnaissance,"C, I, A",High,High,"• ZTA (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any A1 security measures.,,High
T-A1-03,T-A1-03,Malicious function or application modifies messaging across A1 interface,Internal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to modify or inject policy. This can result in the Near-RT RIC receiving malicious policy.,"C, I, A",High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any A1 security measures.,,High
T-A1-04,T-A1-04,Unauthorized access to Non-RT-RIC- or Near-RT-RIC- resources,A malicious actor can gain access to Near-RT-RIC resources or Non-RT-RIC resources over the A1 interface.,"C, I, A",High,High,"• ZTA (High)
 • Threat event initiation (High)","ZTA: ease of performing reconnaissance attacks without immediate detection
  
 Threat event initiation: simple to execute for sophisticated inside actors",,High
T-GEN-01-a,T-GEN-01,"A successful attack could:
 - Compromise the deployed VNF/CNF","Spoofing, Tampering, Information disclosure, Elevation of Privilege","C, I",Medium,High,"• Adverse impacts (Medium), 
 • ZTA (High)","Adverse impacts (Medium) - Only one VNF/CNF might be affected, Existing requirements and controls are defined in the O-RAN specifications that may impede successful exercise of the vulnerability. 
 ZTA (High): Reconnaissance and availability type attacks","SBOM requirements 
  
 REQ-SEC-SYS-1",High
T-GEN-01-b,T-GEN-01,"A successful attack could:
 - Deployment of malicious VM/Container (Lack of isolation)
 - Exploit host access to escape the host and reach hardware server then the malicious VM/Container can gain root access to the whole server where it resides","Spoofing, Tampering, Information disclosure, Elevation of Privilege","C, I",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) - Multiple VNFs/CNFs might be affected
 
 ZTA (High): Reconnaissance and availability type attacks","SBOM requirements 
  
 REQ-SEC-SYS-1",High
T-GEN-02,T-GEN-02,"A successful attack could:
 - Bypass access controls placed on various resources on O-Cloud
 - Gain increased privilege to specific O-Cloud services
 - Access to restricted areas of the O-Cloud network","Spoofing, Tampering, Information disclosure, Elevation of Privilege","C, I",Medium,High,"• Adverse impacts (Medium), 
 • ZTA (High)","Adverse impacts (Medium) - Requirements are in place for user authentication and authorization
 
 ZTA (High): Reconnaissance type attacks","REQ-SEC-PASS-1
  
 REQ-SEC-OCLOUD-1
  
 REQ-SEC-OCLOUD-2",High
T-GEN-03-a,T-GEN-03,"A successful attack could:
 - Make use of a untrusted VM/Container that runs on top of a trusted Hypervisor/Container Engine","Tampering, Information disclosure","C, I",Medium,High,"• Adverse impacts (Medium), 
 • ZTA (High)","Adverse impacts (Medium) - Only one VNF/CNF might be affected
 
 ZTA (High): Reconnaissance type attacks",,High
T-GEN-03-b,T-GEN-03,"A successful attack could:
 - Make use of a trusted VM/Container that runs on top of an untrusted Hypervisor/Container Engine to intercept communication, replace strong or use weak cryptographic keys, etc.","Tampering, Information disclosure","C, I",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) - Multiple VNFs/CNFs might be affected
 
 ZTA (High): Reconnaissance and availability type attacks",,High
T-GEN-03-C,T-GEN-03,"A successful attack could:
 - Make use of a trusted VM/Container that runs on top of a trusted Hypervisor/Container Engine that runs on top of an untrusted hardware to intercept communication, replace strong or use weak cryptographic keys, etc.","Tampering, Information disclosure","C, I",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) - Multiple VNFs/CNFs might be affected
 
 ZTA (High): Reconnaissance and availability type attacks",,High
T-GEN-04,T-GEN-04,"A successful attack could:
 - Compromise the availability of O-Cloud services
 - Compromise the confidentiality/integrity of O-Cloud services by extracting/modifying critical application data","Information disclosure, Denial of Service","C, A",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) – No existing controls for interfaces in O-Cloud
 
 ZTA (High): Reconnaissance and availability type attacks",,High
T-GEN-05 (a),T-GEN-05,"A successful attack could:
 - view insecurely stored credentials and cryptographic materials","Information disclosure, Elevation of Privilege",C,Medium,High,"Adverse impacts (Medium), 
 ZTA (High)","Adverse impacts (Medium) – Requirements are defined for sensitive data protection in the O-RAN security specifications
  
 ZTA (High): Reconnaissance type attacks","REQ-SEC-OCLOUD-SS-1
 REQ-SEC-OCLOUD-SS-2
 REQ-SEC-OCLOUD-SS-3
 SEC-CTL-OCLOUD-SS-1
 SEC-CTL-OCLOUD-SS-2
 SEC-CTL-OCLOUD-SS-3",High
T-GEN-05 (b),T-GEN-05,"A successful attack could:
 - modify insecurely stored credentials and cryptographic materials","Tampering, Elevation of Privilege",I,Medium,Medium,"Adverse impacts (Medium), 
 ZTA (Medium)","Adverse impacts (Medium) – Requirements are defined for sensitive data protection in the O-RAN security specifications
  
 ZTA (Medium): Integrity type attacks","REQ-SEC-OCLOUD-SS-1
 REQ-SEC-OCLOUD-SS-2
 REQ-SEC-OCLOUD-SS-3
 SEC-CTL-OCLOUD-SS-1
 SEC-CTL-OCLOUD-SS-2
 SEC-CTL-OCLOUD-SS-3",Medium
T-GEN-06,T-GEN-06,"A successful attack could:
 - Gain access to the sensitive information
 - Escalate privileges in Applications","Information disclosure, Elevation of Privilege",C,Medium,Medium,"Adverse impacts (Medium), 
 ZTA (High)","Adverse impacts (Medium) – Requirements are defined for sensitive data protection in the O-RAN security specifications
  
 ZTA (High): Reconnaissance type attacks",,Medium
T-VM-C-01,T-VM-C-01,"A successful attack could:
 - Compromise VM/Container isolation measures
 - Gain higher privileges on host or any of the containers running on that host
 - Perform unauthorized modifications to the contents of host filesystem e.g. install SSH keys, read secrets mounted to the host, and take other malicious actions","Spoofing, Tampering, Information disclosure, Denial of Service and Elevation of privilege","C, I, A",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) – No existing requirements
 
 ZTA (High): Reconnaissance and availability type attacks",,High
T-VM-C-02,T-VM-C-02,"A successful attack could:
 - Deploy a new malicious VM/Container configured without network rules, user limitations, etc. to bypass existing defenses within O-Cloud infrastructure
 - Compromise the confidentiality & integrity of co-hosted VMs/Containers and tenants
 - Launch DDOS attacks on co-hosted VMs/Containers and host services thereby degrading their performance","Spoofing, Tampering, Information disclosure, Denial of Service and Elevation of privilege","C, I, A",High,Medium,"• Adverse impacts (High), 
 • ZTA (Medium)","Adverse impacts (High) – No existing requirements
 
 ZTA (Medium) - Availability type attacks",,High
T-VM-C-03,T-VM-C-03,"A successful attack could:
 - Retrieve/manipulate VNF/CNF sensitive data (e.g. passwords, private keys, subscription data, logs)","Tampering, Information disclosure","C, I",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) – No existing requirements
 
 ZTA (High): Reconnaissance type attacks",,High
T-VM-C-04-a,T-VM-C-04,"A successful attack could:
 - Cause migration Flooding: VM/Container performance degradation and VM/Container crashes","Tampering, Information disclosure, Denial of Service","C, I, A",High,Medium,"• Adverse impacts (High), 
 • ZTA (Medium)","Adverse impacts (High) – No existing requirements
 
 ZTA (Medium): Availability type attacks",,High
T-VM-C-04-b,T-VM-C-04,"""A successful attack could:
 - Sniff the packets that are exchanged between the source and destination servers
 - Read the migrated memory pages
 - Monitor and/or modify the received packets while continuing to forward them to victim VM/Container""","Tampering, Information disclosure, Denial of Service","C, I, A",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) – No existing requirements
 
 ZTA (High): Reconnaissance type attacks",,High
T-VM-C-05,T-VM-C-05,"A successful attack could:
 - Misguide the Virtualization layer to reduce the resource of or delete a VM/Container on which a VNF/CNF is running. This can result in the reliability, availability or even illegal termination of a VNF/CNF and hence the denial of service
 - Misguide the O-Cloud platform to detach a hardware accelerator from a VNF/CNF",Denial of Service,A,High,Medium,"• Adverse impacts (High), 
 • ZTA (Medium)","Adverse impacts (High) – No existing requirements
 
 ZTA (Medium): Availability type attacks",,High
T-VM-C-06,T-VM-C-06,"A successful attack could:
 - Access to data not erased from a terminated VNF/CNF or any VNF/CNF that has released resources",Information disclosure,C,High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) – No existing requirements
 
 ZTA (High): Reconnaissance and availability type attacks",,High
T-IMG-01,T-IMG-01,"A successful attack could:
 - Insert malicious code that will subsequently get run in the production environment","Tampering, Information disclosure","C, I",Medium,High,"• Adverse impacts (Medium), 
 • ZTA (High)","Adverse impacts (Medium) – Requirements are defined for image protection in the O-RAN security specifications
 
 ZTA (High): Reconnaissance and availability type attacks","REQ-SEC-ALM-PKG-1 to REQ-SEC-ALM-PKG-15
  
 SEC-CTL-ALM-PKG-1 to SEC-CTL-ALM-PKG-4",High
T-IMG-02,T-IMG-02,"A successful attack could:
 - Intercept network traffic intended for registries and steal developer or administrator credentials within that traffic. Thus, could be used to provide fraudulent or outdated images to orchestrators, etc.","Tampering, Information disclosure","C, I",Medium,High,"• Adverse impacts (Medium), 
 • ZTA (High)","Adverse impacts (Medium) – Requirements are defined for image protection in the O-RAN security specifications
 
 ZTA (High): Reconnaissance and availability type attacks","REQ-SEC-ALM-PKG-1 to REQ-SEC-ALM-PKG-15
  
 SEC-CTL-ALM-PKG-1 to SEC-CTL-ALM-PKG-4",High
T-IMG-03,T-IMG-03,"A successful attack could:
 - Secrets embedded within a VM/Container image can be stolen 
 - Secrets embedded within a VM/Container image can be modified","Spoofing, Tampering, Information disclosure","C, I",Medium,High,"• Adverse impacts (Medium), 
 • ZTA (High)","Adverse impacts (Medium) – Requirements are defined for image protection in the O-RAN security specifications
 
 ZTA (High): Reconnaissance and availability type attacks","REQ-SEC-ALM-PKG-1 to REQ-SEC-ALM-PKG-15
  
 SEC-CTL-ALM-PKG-1 to SEC-CTL-ALM-PKG-4",High
T-IMG-04,T-IMG-04,"A successful attack could:
 - Build a custom image on the host that includes malware and then may deploy container using that custom image","Spoofing, Tampering, Information disclosure, Denial of Service and Elevation of privilege","C, I, A",Medium,High,"• Adverse impacts (Medium), 
 • ZTA (High)","Adverse impacts (Medium) – Requirements are defined for image protection in the O-RAN security specifications
 
 ZTA (High): Reconnaissance and availability type attacks","REQ-SEC-ALM-PKG-1 to REQ-SEC-ALM-PKG-15
  
 SEC-CTL-ALM-PKG-1 to SEC-CTL-ALM-PKG-4",High
T-VL-01,T-VL-01,"A successful attack could:
 - Gain control over the host of a server or install a malicious Hypervisor/Container Engine/Host OS and exploit that to run malicious applications on the VM/Container that run on top of the host. This would enable the attacker to control all the VMs/Containers running on the host.","Spoofing, Tampering, Information disclosure, Denial of Service and Elevation of privilege","C, I, A",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse impacts (High) - No existing requirements
 
 ZTA(High) - Reconnaissance and availability type of attacks",,High
T-VL-02,T-VL-02,"A successful attack could cause:
 - Failure of the physical machine to start at all
 - Physical machine entering a safe-mode
 - Physical machine continuing boot regardless of the integrity measurements",Tampering,I,High,Medium,"• Adverse impacts (High), 
 • ZTA (Medium)","Adverse Impact (High) - No existing requirements
 
 ZTA(Medium) - Availability type attacks",,High
T-VL-03,T-VL-03,"A successful attack could:
 - cause denial-of-service against the service discovery infrastructure to prevent O-Cloud to react to changing resource requirements properly",Denial of Service,A,Medium,Medium,"Adverse impacts (Medium), 
 ZTA (Medium)","Adverse impacts (Medium) – Requirements are defined for O-Cloud authentication and authorization
 in the O-RAN security specifications.
 
 ZTA (Medium): Availability type attacks","REQ-SEC-OCLOUD-O2dms-1
 REQ-SEC-OCLOUD-O2dms-2
 REQ-SEC-OCLOUD-O2dms-3
 REQ-SEC-OCLOUD-O2dms-4
 REQ-SEC-OCLOUD-O2ims-1
 REQ-SEC-OCLOUD-O2ims-2
 REQ-SEC-OCLOUD-O2ims-3
 REQ-SEC-OCLOUD-O2ims-4
 REQ-SEC-O-CLOUD-NotifAPI-1
 REQ-SEC-O-CLOUD-NotifAPI-2
 SEC-CTL-O-CLOUD-INTERFACE-1
 SEC-CTL-O-CLOUD-INTERFACE-2
 SEC-CTL-O-CLOUD-INTERFACE-3
 REQ-SEC-OCLOUD-ISO-1
 REQ-SEC-OCLOUD-ISO-2
 REQ-SEC-OCLOUD-ISO-3
 REQ-SEC-OCLOUD-ISO-4",Medium
T-O2-01,T-O2-01,"A successful attack could:
 - Tamper/alter/disclose requests and services sent over O2 between O-Cloud and SMO, hence the virtualized resource or relevant status information is not as requested
 - Affect the normal operation of the O-Cloud, and even causes DoS attacks, information leakage.","Tampering, Information disclosure, Denial of Service","C, I, A",Low,High,"• Adverse impacts (Low), 
 • ZTA (High)","Adverse impacts (Low) – Requirements are defined for the protection of O2 interface in the O-RAN security specifications
 
 ZTA (High): Reconnaissance and availability type attacks","REQ-SEC-O2-1
 SEC-CTL-O2-2
 REQ-SEC-DOS-1",Medium
T-OCAPI-01,T-OCAPI-01,"A successful attack could:
 - Cryptographic keys or other security critical data of an instantiated VNF/CNF could be stolen by an attacker with access to the virtualization layer
 - The virtualized resource provided by the Virtualization layer to the instantiated VNF/CNF can be manipulated","Tampering, Information disclosure, Denial of Service","C, I, A",Low,High,"• Adverse impacts (Low), 
 • ZTA (High)","Adverse impacts (Low) – Requirements are defined for the protection of O-Cloud API in the O-RAN security specifications
 
 ZTA (High): Reconnaissance and availability type attacks","REQ-SEC-O2-1
 SEC-CTL-O2-2
 REQ-SEC-DOS-1",Medium
T-HW-01,T-HW-01,"A successful attack could:
 - Maliciously placed VM/Container extracts information from the target VM/Container with the side channel attack","Tampering, Information disclosure, Denial of Service","C, I, A",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse Impact (High) - No existing requirements
 
 ZTA (High): Reconnaissance and availability type attacks",,High
T-HW-02,T-HW-02,"A successful attack could:
 - Extract useful information such as cryptographic keys from the target VM/Container to use them for traffic eavesdropping and man-in-the-middle attacks.","Tampering, Information disclosure, Denial of Service","C, I, A",High,High,"• Adverse impacts (High), 
 • ZTA (High)","Adverse Impact (High) - No existing requirements
 
 ZTA (High): Reconnaissance and availability type attacks",,High
T-AAL-01,T-AAL-01,"A successful attack could:
 - tamper the requests/responses sent between the AAL components, the O-Cloud platform and O-RAN APPs/VNFs/CNFs",Tampering,I,High,Medium,"Adverse impacts (Medium), 
 ZTA (High)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Integrity type attacks",,High
T-AAL-02,T-AAL-02,"A successful attack could:
 - cause DoS attack or increased traffic on AAL interfaces",Denial of Service,A,High,Medium,"Adverse impacts (Medium), 
 ZTA (High)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Availability type attacks",,High
T-AAL-03 (a),T-AAL-03,Fail to clear resources,Information disclosure,C,High,High,"Adverse impacts (High),
 ZTA (High)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (High): reconnaissance type attacks",,High
T-AAL-03 (b),T-AAL-03,Fail to clear resources,Denial of service,A,High,Medium,"Adverse impacts (High),
 ZTA (Medium)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Availability type attacks",,High
T-AAL-04 (a),T-AAL-04,HAM compromise,Tampering,I,High,Medium,"Adverse impacts (High),
 ZTA (Medium)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Integrity type attacks",,High
T-AAL-04 (b),T-AAL-04,HAM compromise,Denial of service,A,High,Medium,"Adverse impacts (High), ZTA (Medium)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Availability type attacks",,High
T-AAL-05 (a),T-AAL-05,Malicious memory accesses,Information disclosure,C,High,High,"Adverse impacts (High),
 ZTA (High)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (High): reconnaissance type attacks",,High
T-AAL-05 (b),T-AAL-05,Malicious memory accesses,Tampering,I,High,Medium,"Adverse impacts (High), ZTA (Medium)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Integrity type attacks",,High
T-AAL-05 (c),T-AAL-05,Malicious memory accesses,Denial of service,A,High,Medium,"Adverse impacts (High), ZTA (Medium)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Availability type attacks",,High
T-AAL-06 (a),T-AAL-06,Software attacks,Information disclosure,C,High,High,"Adverse impacts (High),
 ZTA (High)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (High): reconnaissance type attacks",,High
T-AAL-06 (b),T-AAL-06,Software attacks,Tampering,I,High,Medium,"Adverse impacts (High), ZTA (Medium)","Adverse impacts (High) – Not security requirements yet for AAL in O-RAN security specifications
 
 ZTA (Medium): Integrity type attacks",,High
T-O-CLOUD-ID-01,T-O-CLOUD-ID-01,"In the O-Cloud environment, the reuse of IDs from deleted objects for new objects can lead to unintended data associations, leaks, and operational disruptions.","Tampering, Information disclosure","C, I",High,High,"Adverse impacts (High),
 ZTA (High)","Adverse impacts (High) – Not security requirements yet for O-Cloud ID in O-RAN security specifications
 
 ZTA (High): reconnaissance and integrity type attacks",,High
T-O-CLOUD-ID-02,T-O-CLOUD-ID-02,"In O-Cloud deployments, replacing failed machines without proper management of their corresponding Node objects can lead to resource mismatches, stale data inheritance, and network inconsistencies.","Spoofing, Tampering, Information disclosure, Denial of Service","C, I, A",High,High,"Adverse impacts (High),
 ZTA (High)","Adverse impacts (High) – Not security requirements yet for O-Cloud ID in O-RAN security specifications
 
 ZTA (High): reconnaissance, integrity, and availability type attacks",,High
